epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,5093.1,1.00894,0.63137,0.89414,0.92176,0.83333,0.87377,0.4004,1.9253,0.93688,1.325,0.0005942,0.0005942,0.0005942
73,5169.74,0.92437,0.60264,0.86455,0.94802,0.83333,0.87234,0.4018,1.95765,0.95456,1.34599,0.0005744,0.0005744,0.0005744
74,5245.33,0.94358,0.62145,0.90507,0.92142,0.79167,0.83833,0.3946,1.97907,0.98085,1.32061,0.0005546,0.0005546,0.0005546
75,5324.19,0.92463,0.62946,0.91857,0.93005,0.83107,0.86699,0.39397,1.96221,0.99432,1.30183,0.0005348,0.0005348,0.0005348
76,5399.42,0.97974,0.67891,0.87721,0.92735,0.83333,0.86262,0.3921,1.95787,1.00835,1.29607,0.000515,0.000515,0.000515
77,5472.05,0.98532,0.60678,0.88161,0.93162,0.8515,0.88139,0.38542,1.98602,0.98978,1.31644,0.0004952,0.0004952,0.0004952
78,5547.77,0.93177,0.60025,0.89935,0.94031,0.83333,0.89876,0.39119,1.98759,0.94836,1.3431,0.0004754,0.0004754,0.0004754
79,5621.67,1.0207,0.63598,0.88128,0.96672,0.83333,0.89607,0.39544,2.00468,0.95893,1.38568,0.0004556,0.0004556,0.0004556
80,5698.53,0.93679,0.62151,0.8913,0.95114,0.81122,0.8652,0.37851,2.01024,0.94937,1.38418,0.0004358,0.0004358,0.0004358
81,5786.59,0.95577,0.61578,0.87039,0.93221,0.875,0.88994,0.38382,2.03461,0.91937,1.38282,0.000416,0.000416,0.000416
82,5859.89,0.94276,0.6084,0.8633,0.94915,0.85417,0.88664,0.3751,2.04549,0.91586,1.37815,0.0003962,0.0003962,0.0003962
83,5932.11,0.87178,0.56923,0.8768,0.94804,0.85417,0.88222,0.37372,1.98641,0.9186,1.3602,0.0003764,0.0003764,0.0003764
84,6006.83,0.90113,0.60223,0.89712,0.92568,0.83333,0.85208,0.37633,1.92006,0.91956,1.34154,0.0003566,0.0003566,0.0003566
85,6079.36,0.85783,0.59703,0.90874,0.95433,0.87068,0.91836,0.39114,1.91263,0.92002,1.3464,0.0003368,0.0003368,0.0003368
86,6156.72,0.89678,0.57597,0.8842,0.97557,0.832,0.88669,0.39401,1.93304,0.90307,1.34344,0.000317,0.000317,0.000317
87,6241.98,0.87285,0.5602,0.87555,0.95198,0.82618,0.86761,0.39767,1.93429,0.88522,1.3428,0.0002972,0.0002972,0.0002972
88,6316.61,0.71751,0.62907,0.77413,0.97611,0.85118,0.8916,0.38533,1.90505,0.88872,1.33831,0.0002774,0.0002774,0.0002774
89,6394.4,0.77984,0.53945,0.86391,0.94694,0.8125,0.87884,0.4017,1.88605,0.87682,1.33413,0.0002576,0.0002576,0.0002576
90,6471.06,0.87414,0.58467,0.90145,0.94749,0.8125,0.87875,0.39496,1.88086,0.88186,1.33115,0.0002378,0.0002378,0.0002378
91,6548.4,0.88345,0.61571,0.88829,0.94094,0.8125,0.88929,0.39848,1.89594,0.90184,1.33068,0.000218,0.000218,0.000218
92,6628.13,0.9406,0.63099,0.8928,0.97421,0.78711,0.87029,0.3944,1.93359,0.91956,1.34254,0.0001982,0.0001982,0.0001982
93,6701.34,0.83779,0.59932,0.89164,0.969,0.79167,0.87291,0.39234,1.93589,0.89996,1.345,0.0001784,0.0001784,0.0001784
94,6779.74,1.02216,0.7038,0.94527,0.96738,0.79167,0.87808,0.3937,1.89096,0.85622,1.33753,0.0001586,0.0001586,0.0001586
95,6858.77,0.82994,0.59505,0.9235,0.96812,0.79167,0.88498,0.39171,1.85595,0.84327,1.33654,0.0001388,0.0001388,0.0001388
96,6931.5,0.81951,0.60249,0.87028,0.96532,0.79167,0.88783,0.40346,1.84961,0.84236,1.34566,0.000119,0.000119,0.000119
97,7002.29,0.8007,0.56172,0.87359,0.96602,0.79167,0.88724,0.39911,1.84966,0.84697,1.35281,9.92e-05,9.92e-05,9.92e-05
98,7084.05,0.9005,0.61203,0.85274,0.94716,0.77083,0.86572,0.39543,1.85618,0.85755,1.35654,7.94e-05,7.94e-05,7.94e-05
99,7170.89,0.79821,0.56633,0.82825,0.94692,0.77083,0.86514,0.38985,1.87033,0.86873,1.35835,5.96e-05,5.96e-05,5.96e-05
100,7260.31,0.99698,0.63935,0.86097,0.94513,0.77083,0.86436,0.38855,1.87662,0.87169,1.35671,3.98e-05,3.98e-05,3.98e-05
